property_id,user_id,rent_approval_date,block,street_name,building,postal,town,flat_type,monthly_rent,latitude,longtitude,number_of_bedrooms,floorsize,price_per_square_metre,year_built,floor_level,furnishing,lease_term,negotiable_pricing,is_visible,is_approved,property_name,property_description,created_at,gender,approval_document_url
11,1,2023-01-02 07:29:29,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3400,1.403145259,103.900666,3,99.5070984,34.16841667,2012-09-25,2,not furnished,flexible,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $3400/month",Interested individuals can contact me!,2023-01-02 03:29:29,male,approval_letter.pdf
12,1,2023-04-15 13:43:21,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3900,1.403145259,103.900666,3,101.3262596,38.48952893,2012-10-12,13,partially furnished,1 year,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $3900/month",Interested individuals can contact me!,2023-04-15 09:43:21,female,approval_letter.pdf
13,1,2023-05-12 15:39:34,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,4000,1.403145259,103.900666,3,118.8417163,33.65821468,2012-03-23,11,fully furnished,short term,yes,1,1,"5-ROOM @ PUNGGOL RESIDENCES, ONLY $4000/month",Interested individuals can contact me!,2023-05-12 11:39:34,male,approval_letter.pdf
14,1,2021-01-12 04:05:55,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2050,1.393746768,103.9140016,3,99.6192263,20.57835697,1998-08-19,13,fully furnished,3 years,no,1,1,"4-ROOM @ THE NAUTILUS @ PUNGGOL, ONLY $2050/month",Interested individuals can contact me!,2021-01-12 00:05:55,male,approval_letter.pdf
15,1,2021-04-15 01:53:25,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2600,1.393746768,103.9140016,3,96.76929248,26.86802738,1998-06-24,11,not furnished,short term,yes,1,1,"4-ROOM @ THE NAUTILUS @ PUNGGOL, ONLY $2600/month",Interested individuals can contact me!,2021-04-14 21:53:25,male,approval_letter.pdf
16,1,2021-12-04 07:48:43,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2200,1.393746768,103.9140016,3,100.027459,21.99396068,1998-10-18,11,not furnished,3 years,yes,1,1,"4-ROOM @ THE NAUTILUS @ PUNGGOL, ONLY $2200/month",Interested individuals can contact me!,2021-12-04 03:48:43,female,approval_letter.pdf
17,1,2023-02-16 19:16:07,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,3500,1.393746768,103.9140016,3,97.84503318,35.77084995,1998-03-14,6,not furnished,2 years,yes,1,1,"4-ROOM @ THE NAUTILUS @ PUNGGOL, ONLY $3500/month",Interested individuals can contact me!,2023-02-16 15:16:07,mixed,approval_letter.pdf
18,1,2023-05-16 06:57:18,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,3600,1.393746768,103.9140016,3,102.8244454,35.01112976,1998-07-24,6,partially furnished,flexible,yes,1,1,"4-ROOM @ THE NAUTILUS @ PUNGGOL, ONLY $3600/month",Interested individuals can contact me!,2023-05-16 02:57:18,male,approval_letter.pdf
19,1,2021-01-14 00:08:03,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1600,1.379133573,103.7547387,3,101.681162,15.7354614,1973-10-24,6,fully furnished,1 year,no,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $1600/month",Interested individuals can contact me!,2021-01-13 20:08:03,female,approval_letter.pdf
20,1,2021-01-28 02:51:13,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1800,1.379133573,103.7547387,3,100.7266887,17.87013971,1973-03-10,6,partially furnished,2 years,yes,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $1800/month",Interested individuals can contact me!,2021-01-27 22:51:13,male,approval_letter.pdf
21,1,2021-09-11 07:31:42,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1800,1.379133573,103.7547387,3,97.31075647,18.49744124,1973-10-24,10,partially furnished,short term,no,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $1800/month",Interested individuals can contact me!,2021-09-11 03:31:42,female,approval_letter.pdf
22,1,2022-07-15 02:55:55,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,2800,1.379133573,103.7547387,3,97.61943445,28.68281317,1973-08-08,8,fully furnished,flexible,no,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $2800/month",Interested individuals can contact me!,2022-07-14 22:55:55,male,approval_letter.pdf
23,1,2022-12-06 02:32:21,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,2200,1.379133573,103.7547387,3,99.51426668,22.10738293,1973-10-08,15,partially furnished,1 year,no,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $2200/month",Interested individuals can contact me!,2022-12-05 22:32:21,mixed,approval_letter.pdf
24,1,2023-03-09 15:49:24,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,4000,1.379133573,103.7547387,3,98.28360786,40.69854666,1973-03-27,3,not furnished,2 years,no,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $4000/month",Interested individuals can contact me!,2023-03-09 11:49:24,mixed,approval_letter.pdf
25,1,2023-04-05 13:47:56,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,3500,1.379133573,103.7547387,3,101.4898927,34.48619272,1973-04-28,13,fully furnished,1 year,yes,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $3500/month",Interested individuals can contact me!,2023-04-05 09:47:56,female,approval_letter.pdf
26,1,2023-07-08 23:32:54,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1300,1.379133573,103.7547387,3,94.43335957,13.76632162,1973-08-11,9,fully furnished,1 year,yes,1,1,"4-ROOM @ TECK WHYE HEIGHTS III, ONLY $1300/month",Interested individuals can contact me!,2023-07-08 19:32:54,mixed,approval_letter.pdf
27,1,2021-01-07 16:39:17,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,100.6480529,17.88410156,2007-01-07,14,fully furnished,flexible,no,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $1800/month",Interested individuals can contact me!,2021-01-07 12:39:17,male,approval_letter.pdf
28,1,2021-01-10 09:00:51,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,2100,1.456546013,103.8167639,3,116.5359332,18.02019293,2007-04-18,12,fully furnished,flexible,no,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $2100/month",Interested individuals can contact me!,2021-01-10 05:00:51,female,approval_letter.pdf
29,1,2021-05-25 12:52:04,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1700,1.456546013,103.8167639,3,124.0868683,13.70007982,2007-08-05,3,fully furnished,1 year,no,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $1700/month",Interested individuals can contact me!,2021-05-25 08:52:04,mixed,approval_letter.pdf
30,1,2021-08-26 06:10:19,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1600,1.456546013,103.8167639,3,96.72045356,16.54251961,2007-07-21,9,fully furnished,3 years,yes,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $1600/month",Interested individuals can contact me!,2021-08-26 02:10:19,female,approval_letter.pdf
31,1,2021-09-22 13:28:04,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,97.29876045,18.4997218,2007-05-11,11,fully furnished,1 year,yes,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $1800/month",Interested individuals can contact me!,2021-09-22 09:28:04,female,approval_letter.pdf
32,1,2021-12-25 19:22:06,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1700,1.456546013,103.8167639,3,116.2520575,14.62339709,2007-03-06,3,not furnished,short term,no,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $1700/month",Interested individuals can contact me!,2021-12-25 15:22:06,female,approval_letter.pdf
33,1,2022-01-17 03:19:54,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2000,1.456546013,103.8167639,3,95.62979663,20.91398362,2007-11-13,7,not furnished,short term,no,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $2000/month",Interested individuals can contact me!,2022-01-16 23:19:54,male,approval_letter.pdf
34,1,2022-03-13 12:49:34,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2100,1.456546013,103.8167639,3,96.05134193,21.86330725,2007-09-20,3,fully furnished,flexible,yes,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $2100/month",Interested individuals can contact me!,2022-03-13 08:49:34,male,approval_letter.pdf
35,1,2022-06-16 14:16:00,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,2605,1.456546013,103.8167639,3,121.9757302,21.35670756,2007-01-09,8,fully furnished,2 years,yes,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $2605/month",Interested individuals can contact me!,2022-06-16 10:16:00,male,approval_letter.pdf
36,1,2022-08-13 02:20:18,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,105.3589678,17.08444983,2007-03-11,12,fully furnished,flexible,no,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $1800/month",Interested individuals can contact me!,2022-08-12 22:20:18,female,approval_letter.pdf
37,1,2022-08-15 22:19:31,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1900,1.456546013,103.8167639,3,125.5489939,15.13353425,2007-04-07,14,not furnished,3 years,no,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $1900/month",Interested individuals can contact me!,2022-08-15 18:19:31,female,approval_letter.pdf
38,1,2022-12-27 03:30:38,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1950,1.456546013,103.8167639,3,119.236838,16.3540063,2007-11-13,8,fully furnished,2 years,no,1,1,"5-ROOM @ SEMBAWANG GREEN, ONLY $1950/month",Interested individuals can contact me!,2022-12-26 23:30:38,female,approval_letter.pdf
39,1,2023-03-12 20:20:07,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,3000,1.456546013,103.8167639,3,96.64801005,31.04047355,2007-02-16,14,not furnished,short term,yes,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $3000/month",Interested individuals can contact me!,2023-03-12 16:20:07,male,approval_letter.pdf
40,1,2023-07-28 20:15:01,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,99.97783972,18.00398973,2007-09-26,7,not furnished,short term,no,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $1800/month",Interested individuals can contact me!,2023-07-28 16:15:01,male,approval_letter.pdf
41,1,2023-08-05 16:56:27,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2800,1.456546013,103.8167639,3,98.23865846,28.50201788,2007-12-24,14,partially furnished,flexible,no,1,1,"4-ROOM @ SEMBAWANG GREEN, ONLY $2800/month",Interested individuals can contact me!,2023-08-05 12:56:27,mixed,approval_letter.pdf
42,1,2021-01-07 15:38:41,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1700,1.270379512,103.823236,2,62.64456776,27.1372293,1983-04-26,10,not furnished,short term,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1700/month",Interested individuals can contact me!,2021-01-07 11:38:41,female,approval_letter.pdf
43,1,2021-01-04 13:48:49,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2200,1.270379512,103.823236,2,60.81427967,36.17571419,1983-10-22,3,partially furnished,3 years,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2200/month",Interested individuals can contact me!,2021-01-04 09:48:49,male,approval_letter.pdf
44,1,2021-02-26 23:43:08,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,62.9822798,30.16721538,1983-12-18,4,partially furnished,flexible,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1900/month",Interested individuals can contact me!,2021-02-26 19:43:08,mixed,approval_letter.pdf
45,1,2021-03-17 08:17:31,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1800,1.270379512,103.823236,2,63.04876099,28.54933185,1983-05-19,3,not furnished,3 years,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1800/month",Interested individuals can contact me!,2021-03-17 04:17:31,mixed,approval_letter.pdf
46,1,2021-03-12 13:18:26,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,63.14908049,30.08753231,1983-12-26,3,fully furnished,short term,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1900/month",Interested individuals can contact me!,2021-03-12 09:18:26,female,approval_letter.pdf
47,1,2021-03-07 12:52:14,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,62.26078674,32.12294776,1983-04-14,9,not furnished,short term,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2000/month",Interested individuals can contact me!,2021-03-07 08:52:14,mixed,approval_letter.pdf
48,1,2021-06-12 12:18:57,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,63.12960076,31.68085931,1983-09-02,6,fully furnished,flexible,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2000/month",Interested individuals can contact me!,2021-06-12 08:18:57,male,approval_letter.pdf
49,1,2021-06-20 10:33:45,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,62.24964159,30.52226409,1983-10-21,3,not furnished,flexible,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1900/month",Interested individuals can contact me!,2021-06-20 06:33:45,male,approval_letter.pdf
50,1,2021-10-22 01:43:44,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,62.59871263,31.94953883,1983-12-19,5,not furnished,short term,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2000/month",Interested individuals can contact me!,2021-10-21 21:43:44,male,approval_letter.pdf
51,1,2021-11-14 14:51:35,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,63.19133518,31.64990887,1983-08-16,4,not furnished,flexible,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2000/month",Interested individuals can contact me!,2021-11-14 10:51:35,mixed,approval_letter.pdf
52,1,2021-12-28 01:51:11,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2500,1.270379512,103.823236,2,63.59996427,39.30819818,1983-08-22,14,partially furnished,short term,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2500/month",Interested individuals can contact me!,2021-12-27 21:51:11,female,approval_letter.pdf
53,1,2021-12-07 19:45:13,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1700,1.270379512,103.823236,2,62.15728755,27.34997081,1983-11-07,5,partially furnished,1 year,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1700/month",Interested individuals can contact me!,2021-12-07 15:45:13,female,approval_letter.pdf
54,1,2022-01-26 18:43:26,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2700,1.270379512,103.823236,2,63.26777987,42.67575068,1983-03-02,4,not furnished,flexible,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2700/month",Interested individuals can contact me!,2022-01-26 14:43:26,female,approval_letter.pdf
55,1,2022-02-27 09:34:21,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1600,1.270379512,103.823236,2,62.30263039,25.68109869,1983-07-23,8,not furnished,1 year,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $1600/month",Interested individuals can contact me!,2022-02-27 05:34:21,female,approval_letter.pdf
56,1,2022-08-15 11:37:23,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2300,1.270379512,103.823236,2,63.18630271,36.40029407,1983-07-02,13,fully furnished,flexible,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2300/month",Interested individuals can contact me!,2022-08-15 07:37:23,mixed,approval_letter.pdf
57,1,2022-09-03 13:45:30,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2100,1.270379512,103.823236,2,63.16030312,33.24873214,1983-11-20,12,fully furnished,flexible,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2100/month",Interested individuals can contact me!,2022-09-03 09:45:30,female,approval_letter.pdf
58,1,2022-10-23 15:26:39,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2400,1.270379512,103.823236,2,61.22784065,39.19785468,1983-02-16,6,partially furnished,3 years,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2400/month",Interested individuals can contact me!,2022-10-23 11:26:39,mixed,approval_letter.pdf
59,1,2022-12-14 07:03:14,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2200,1.270379512,103.823236,2,63.14560764,34.84011133,1983-08-18,9,not furnished,1 year,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2200/month",Interested individuals can contact me!,2022-12-14 03:03:14,female,approval_letter.pdf
60,1,2023-01-02 18:06:45,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2800,1.270379512,103.823236,2,62.08980508,45.09597021,1983-01-18,7,fully furnished,3 years,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2800/month",Interested individuals can contact me!,2023-01-02 14:06:45,male,approval_letter.pdf
61,1,2023-03-14 06:45:02,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,3300,1.270379512,103.823236,2,63.31584603,52.11965419,1983-05-16,2,not furnished,1 year,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $3300/month",Interested individuals can contact me!,2023-03-14 02:45:02,male,approval_letter.pdf
62,1,2023-03-13 19:47:00,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2850,1.270379512,103.823236,2,63.21573455,45.08371247,1983-09-20,6,fully furnished,flexible,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2850/month",Interested individuals can contact me!,2023-03-13 15:47:00,female,approval_letter.pdf
63,1,2023-03-24 00:10:32,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2300,1.270379512,103.823236,2,62.45930378,36.82397755,1983-10-08,2,partially furnished,flexible,no,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $2300/month",Interested individuals can contact me!,2023-03-23 20:10:32,female,approval_letter.pdf
64,1,2023-06-07 09:22:13,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,3550,1.270379512,103.823236,2,62.32951415,56.95536133,1983-01-21,12,fully furnished,3 years,yes,1,1,"3-ROOM @ HDB-BUKIT MERAH, ONLY $3550/month",Interested individuals can contact me!,2023-06-07 05:22:13,female,approval_letter.pdf
65,1,2021-01-09 17:07:42,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,1900,1.392590704,103.889372,3,122.8762959,15.4627057,2001-06-12,15,not furnished,1 year,yes,1,1,"5-ROOM @ HDB-SENGKANG, ONLY $1900/month",Interested individuals can contact me!,2021-01-09 13:07:42,female,approval_letter.pdf
66,1,2021-01-01 22:11:26,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2100,1.392590704,103.889372,3,125.323585,16.75662247,2001-01-06,15,fully furnished,2 years,no,1,1,"5-ROOM @ HDB-SENGKANG, ONLY $2100/month",Interested individuals can contact me!,2021-01-01 18:11:26,male,approval_letter.pdf
67,1,2021-01-02 05:31:27,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2000,1.392590704,103.889372,3,118.8020728,16.8347231,2001-01-01,12,not furnished,short term,yes,1,1,"5-ROOM @ HDB-SENGKANG, ONLY $2000/month",Interested individuals can contact me!,2021-01-02 01:31:27,female,approval_letter.pdf
68,1,2021-01-18 09:22:18,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2100,1.392590704,103.889372,3,121.4107178,17.29666078,2001-04-23,5,partially furnished,2 years,yes,1,1,"5-ROOM @ HDB-SENGKANG, ONLY $2100/month",Interested individuals can contact me!,2021-01-18 05:22:18,female,approval_letter.pdf
69,1,2021-01-10 07:48:12,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,148.5301723,14.13854147,2001-05-16,13,fully furnished,short term,yes,1,1,"EXECUTIVE @ HDB-SENGKANG, ONLY $2100/month",Interested individuals can contact me!,2021-01-10 03:48:12,female,approval_letter.pdf
70,1,2021-05-02 16:32:07,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,147.3204492,14.25464022,2001-05-12,13,fully furnished,1 year,no,1,1,"EXECUTIVE @ HDB-SENGKANG, ONLY $2100/month",Interested individuals can contact me!,2021-05-02 12:32:07,female,approval_letter.pdf
71,1,2021-06-13 01:11:16,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,147.4923469,14.23802688,2001-06-26,15,not furnished,flexible,no,1,1,"EXECUTIVE @ HDB-SENGKANG, ONLY $2100/month",Interested individuals can contact me!,2021-06-12 21:11:16,mixed,approval_letter.pdf
72,1,2021-08-14 19:41:42,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2500,1.392590704,103.889372,3,151.3745466,16.5153261,2001-05-23,12,partially furnished,flexible,no,1,1,"EXECUTIVE @ HDB-SENGKANG, ONLY $2500/month",Interested individuals can contact me!,2021-08-14 15:41:42,female,approval_letter.pdf
