,property_id,rent_approval_date,town,block,street_name,flat_type,monthly_rent,postal,latitude,longitude,building,number_of_bedrooms,floorsize,price_per_square_metre,year_built,floor_level,furnishing,lease_term,negotiable_pricing
29,30,2021-08-26,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,1600,750493,1.456546,103.816764,SEMBAWANG GREEN,3,96.720454,16.54252,2007,9,fully furnished,3 years,yes
30,31,2021-09-22,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,1800,750493,1.456546,103.816764,SEMBAWANG GREEN,3,97.29876,18.499722,2007,11,fully furnished,1 year,yes
31,32,2021-12-25,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,1700,750493,1.456546,103.816764,SEMBAWANG GREEN,3,116.252058,14.623397,2007,3,not furnished,short term,no
32,33,2022-01-17,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,2000,750493,1.456546,103.816764,SEMBAWANG GREEN,3,95.629797,20.913984,2007,7,not furnished,short term,no
33,34,2022-03-13,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,2100,750493,1.456546,103.816764,SEMBAWANG GREEN,3,96.051342,21.863307,2007,3,fully furnished,flexible,yes
34,35,2022-06-16,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,2605,750493,1.456546,103.816764,SEMBAWANG GREEN,3,121.97573,21.356708,2007,8,fully furnished,2 years,yes
35,36,2022-08-13,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,1800,750493,1.456546,103.816764,SEMBAWANG GREEN,3,105.358968,17.08445,2007,12,fully furnished,flexible,no
36,37,2022-08-15,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,1900,750493,1.456546,103.816764,SEMBAWANG GREEN,3,125.548994,15.133534,2007,14,not furnished,3 years,no
37,38,2022-12-27,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,1950,750493,1.456546,103.816764,SEMBAWANG GREEN,3,119.236838,16.354006,2007,8,fully furnished,2 years,no
38,39,2023-03-12,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,3000,750493,1.456546,103.816764,SEMBAWANG GREEN,3,96.64801,31.040474,2007,14,not furnished,short term,yes
39,40,2023-07-28,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,1800,750493,1.456546,103.816764,SEMBAWANG GREEN,3,99.97784,18.00399,2007,7,not furnished,short term,no
40,41,2023-08-05,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,2800,750493,1.456546,103.816764,SEMBAWANG GREEN,3,98.238658,28.502018,2007,14,partially furnished,flexible,no
41,42,2021-01-07,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1700,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.644568,27.137229,1983,10,not furnished,short term,no
42,43,2021-01-04,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2200,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,60.81428,36.175714,1983,3,partially furnished,3 years,yes
43,44,2021-02-26,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1900,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.98228,30.167215,1983,4,partially furnished,flexible,yes
44,45,2021-03-17,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1800,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.048761,28.549332,1983,3,not furnished,3 years,yes
45,46,2021-03-12,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1900,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.14908,30.087532,1983,3,fully furnished,short term,no
46,47,2021-03-07,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2000,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.260787,32.122948,1983,9,not furnished,short term,no
47,48,2021-06-12,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2000,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.129601,31.680859,1983,6,fully furnished,flexible,yes
48,49,2021-06-20,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1900,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.249642,30.522264,1983,3,not furnished,flexible,yes
49,50,2021-10-22,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2000,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.598713,31.949539,1983,5,not furnished,short term,yes
50,51,2021-11-14,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2000,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.191335,31.649909,1983,4,not furnished,flexible,no
51,52,2021-12-28,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2500,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.599964,39.308198,1983,14,partially furnished,short term,no
52,53,2021-12-07,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1700,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.157288,27.349971,1983,5,partially furnished,1 year,no
53,54,2022-01-26,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2700,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.26778,42.675751,1983,4,not furnished,flexible,yes
54,55,2022-02-27,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,1600,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.30263,25.681099,1983,8,not furnished,1 year,yes
55,56,2022-08-15,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2300,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.186303,36.400294,1983,13,fully furnished,flexible,no
56,57,2022-09-03,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2100,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.160303,33.248732,1983,12,fully furnished,flexible,yes
57,58,2022-10-23,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2400,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,61.227841,39.197855,1983,6,partially furnished,3 years,yes
58,59,2022-12-14,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2200,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.145608,34.840111,1983,9,not furnished,1 year,no
59,60,2023-01-02,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2800,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.089805,45.09597,1983,7,fully furnished,3 years,no
60,61,2023-03-14,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,3300,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.315846,52.119654,1983,2,not furnished,1 year,no
61,62,2023-03-13,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2850,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,63.215735,45.083712,1983,6,fully furnished,flexible,no
62,63,2023-03-24,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,2300,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.459304,36.823978,1983,2,partially furnished,flexible,no
63,64,2023-06-07,BUKIT MERAH,43,TELOK BLANGAH RISE,3-ROOM,3550,90043,1.27038,103.823236,HDB-BUKIT MERAH,2,62.329514,56.955361,1983,12,fully furnished,3 years,yes
64,65,2021-01-09,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,1900,541316,1.392591,103.889372,HDB-SENGKANG,3,122.876296,15.462706,2001,15,not furnished,1 year,yes
65,66,2021-01-01,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2100,541316,1.392591,103.889372,HDB-SENGKANG,3,125.323585,16.756622,2001,15,fully furnished,2 years,no
66,67,2021-01-02,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2000,541316,1.392591,103.889372,HDB-SENGKANG,3,118.802073,16.834723,2001,12,not furnished,short term,yes
67,68,2021-01-18,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2100,541316,1.392591,103.889372,HDB-SENGKANG,3,121.410718,17.296661,2001,5,partially furnished,2 years,yes
68,69,2021-01-10,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2100,541316,1.392591,103.889372,HDB-SENGKANG,3,148.530172,14.138541,2001,13,fully furnished,short term,yes
69,70,2021-05-02,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2100,541316,1.392591,103.889372,HDB-SENGKANG,3,147.320449,14.25464,2001,13,fully furnished,1 year,no
70,71,2021-06-13,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2100,541316,1.392591,103.889372,HDB-SENGKANG,3,147.492347,14.238027,2001,15,not furnished,flexible,no
71,72,2021-08-14,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2500,541316,1.392591,103.889372,HDB-SENGKANG,3,151.374547,16.515326,2001,12,partially furnished,flexible,no
72,73,2021-10-23,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2150,541316,1.392591,103.889372,HDB-SENGKANG,3,119.424628,18.002987,2001,11,partially furnished,3 years,yes
73,74,2021-10-07,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2400,541316,1.392591,103.889372,HDB-SENGKANG,3,147.086237,16.316958,2001,13,fully furnished,1 year,no
74,75,2022-01-26,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2050,541316,1.392591,103.889372,HDB-SENGKANG,3,123.027008,16.663008,2001,11,partially furnished,3 years,yes
75,76,2022-01-05,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2200,541316,1.392591,103.889372,HDB-SENGKANG,3,120.932607,18.19195,2001,9,fully furnished,2 years,yes
76,77,2022-01-08,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,2200,541316,1.392591,103.889372,HDB-SENGKANG,3,154.965557,14.196703,2001,12,fully furnished,2 years,no
77,78,2022-03-26,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2200,541316,1.392591,103.889372,HDB-SENGKANG,3,125.773068,17.491821,2001,3,partially furnished,1 year,no
78,79,2022-04-02,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,3200,541316,1.392591,103.889372,HDB-SENGKANG,3,119.731169,26.726541,2001,9,partially furnished,2 years,no
79,80,2022-04-24,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2400,541316,1.392591,103.889372,HDB-SENGKANG,3,115.687357,20.745569,2001,8,partially furnished,1 year,no
80,81,2022-05-01,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2500,541316,1.392591,103.889372,HDB-SENGKANG,3,117.551623,21.267252,2001,2,fully furnished,3 years,yes
81,82,2022-06-05,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,3800,541316,1.392591,103.889372,HDB-SENGKANG,3,150.060114,25.323185,2001,15,partially furnished,1 year,no
82,83,2022-08-23,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2500,541316,1.392591,103.889372,HDB-SENGKANG,3,120.703945,20.711833,2001,9,fully furnished,2 years,no
83,84,2023-01-17,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,3000,541316,1.392591,103.889372,HDB-SENGKANG,3,117.181416,25.601329,2001,3,fully furnished,short term,no
84,85,2023-01-03,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,3500,541316,1.392591,103.889372,HDB-SENGKANG,3,121.637212,28.774089,2001,15,fully furnished,3 years,no
85,86,2023-06-06,SENGKANG,316A,ANCHORVALE LINK,5-ROOM,2050,541316,1.392591,103.889372,HDB-SENGKANG,3,122.995921,16.667219,2001,2,fully furnished,1 year,no
86,87,2023-06-15,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,3000,541316,1.392591,103.889372,HDB-SENGKANG,3,149.260878,20.099038,2001,14,fully furnished,2 years,yes
87,88,2023-08-23,SENGKANG,316A,ANCHORVALE LINK,EXECUTIVE,3900,541316,1.392591,103.889372,HDB-SENGKANG,3,144.430606,27.002587,2001,14,not furnished,3 years,yes
88,89,2021-01-07,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1350,752593,1.45137,103.828325,MONTREAL VILLE,1,36.964487,36.521541,1974,5,fully furnished,1 year,yes
89,90,2021-02-07,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1380,752593,1.45137,103.828325,MONTREAL VILLE,1,46.199807,29.870255,1974,9,not furnished,short term,no
90,91,2021-07-18,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1200,752593,1.45137,103.828325,MONTREAL VILLE,1,36.889641,32.529457,1974,12,partially furnished,short term,yes
91,92,2021-11-11,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1800,752593,1.45137,103.828325,MONTREAL VILLE,1,36.188059,49.740164,1974,13,fully furnished,short term,no
92,93,2021-11-19,SEMBAWANG,593B,MONTREAL LINK,3-ROOM,2000,752593,1.45137,103.828325,MONTREAL VILLE,2,61.622358,32.455753,1974,2,partially furnished,3 years,yes
93,94,2022-01-15,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1700,752593,1.45137,103.828325,MONTREAL VILLE,1,37.055898,45.876638,1974,2,not furnished,2 years,no
94,95,2022-10-16,SEMBAWANG,593B,MONTREAL LINK,3-ROOM,3400,752593,1.45137,103.828325,MONTREAL VILLE,2,62.201037,54.661468,1974,15,partially furnished,short term,yes
95,96,2022-11-04,SEMBAWANG,593B,MONTREAL LINK,3-ROOM,3100,752593,1.45137,103.828325,MONTREAL VILLE,2,63.605176,48.738172,1974,3,partially furnished,3 years,no
96,97,2023-02-19,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,2100,752593,1.45137,103.828325,MONTREAL VILLE,1,45.52373,46.129788,1974,2,fully furnished,2 years,yes
97,98,2023-06-22,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,2200,752593,1.45137,103.828325,MONTREAL VILLE,1,36.509522,60.258253,1974,4,fully furnished,short term,yes
98,99,2023-08-18,SEMBAWANG,593B,MONTREAL LINK,2-ROOM,1550,752593,1.45137,103.828325,MONTREAL VILLE,1,45.929193,33.747599,1974,3,fully furnished,1 year,yes
99,100,2021-01-20,SENGKANG,209C,COMPASSVALE LANE,4-ROOM,2000,543209,1.383994,103.899174,COMPASSVALE VIEW,3,100.553289,19.889951,2004,5,fully furnished,3 years,no
100,101,2022-05-20,SENGKANG,209C,COMPASSVALE LANE,3-ROOM,2800,543209,1.383994,103.899174,COMPASSVALE VIEW,2,61.763254,45.334399,2004,14,fully furnished,1 year,no
101,102,2022-09-16,SENGKANG,209C,COMPASSVALE LANE,3-ROOM,2000,543209,1.383994,103.899174,COMPASSVALE VIEW,2,63.124922,31.683207,2004,2,partially furnished,short term,no
102,103,2022-11-02,SENGKANG,209C,COMPASSVALE LANE,4-ROOM,2200,543209,1.383994,103.899174,COMPASSVALE VIEW,3,99.034841,22.214404,2004,14,partially furnished,flexible,no
103,104,2023-03-27,SENGKANG,209C,COMPASSVALE LANE,4-ROOM,3200,543209,1.383994,103.899174,COMPASSVALE VIEW,3,103.249046,30.993022,2004,14,partially furnished,flexible,yes
104,105,2021-01-14,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,2300,470761,1.336182,103.934043,LONGVALE,3,125.02724,18.395991,2004,13,fully furnished,short term,no
105,106,2021-02-25,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,2650,470761,1.336182,103.934043,LONGVALE,3,119.60234,22.156757,2004,2,partially furnished,2 years,yes
106,107,2021-02-02,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2200,470761,1.336182,103.934043,LONGVALE,3,102.301531,21.505054,2004,5,not furnished,1 year,yes
107,108,2021-03-21,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,2800,470761,1.336182,103.934043,LONGVALE,3,121.016103,23.137417,2004,11,partially furnished,1 year,yes
108,109,2021-05-15,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2225,470761,1.336182,103.934043,LONGVALE,3,100.915006,22.048257,2004,2,partially furnished,2 years,no
109,110,2021-08-28,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2100,470761,1.336182,103.934043,LONGVALE,3,92.721616,22.648441,2004,15,not furnished,3 years,yes
110,111,2021-08-28,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2000,470761,1.336182,103.934043,LONGVALE,3,101.912288,19.624719,2004,4,fully furnished,short term,no
111,112,2022-02-01,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,2650,470761,1.336182,103.934043,LONGVALE,3,118.523688,22.3584,2004,13,partially furnished,3 years,no
112,113,2022-03-05,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2200,470761,1.336182,103.934043,LONGVALE,3,100.399432,21.912475,2004,6,not furnished,3 years,yes
113,114,2022-04-11,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,3200,470761,1.336182,103.934043,LONGVALE,3,117.145607,27.316432,2004,6,not furnished,flexible,no
114,115,2022-08-18,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2800,470761,1.336182,103.934043,LONGVALE,3,103.189216,27.134619,2004,6,fully furnished,2 years,no
115,116,2022-08-08,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,3200,470761,1.336182,103.934043,LONGVALE,3,114.725326,27.892708,2004,6,fully furnished,flexible,yes
116,117,2022-10-09,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,3800,470761,1.336182,103.934043,LONGVALE,3,119.957883,31.677785,2004,15,fully furnished,short term,no
117,118,2023-02-03,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,3900,470761,1.336182,103.934043,LONGVALE,3,98.737518,39.498663,2004,12,partially furnished,2 years,yes
118,119,2023-02-16,BEDOK,761,BEDOK RESERVOIR VIEW,5-ROOM,2650,470761,1.336182,103.934043,LONGVALE,3,118.876735,22.291999,2004,14,not furnished,2 years,no
119,120,2023-03-03,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,2600,470761,1.336182,103.934043,LONGVALE,3,96.598346,26.915575,2004,10,not furnished,2 years,yes
120,121,2023-04-13,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,3800,470761,1.336182,103.934043,LONGVALE,3,96.264791,39.474453,2004,6,fully furnished,3 years,yes
121,122,2023-05-12,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,3900,470761,1.336182,103.934043,LONGVALE,3,95.698172,40.75313,2004,3,partially furnished,3 years,no
122,123,2023-08-10,BEDOK,761,BEDOK RESERVOIR VIEW,4-ROOM,3600,470761,1.336182,103.934043,LONGVALE,3,102.188016,35.22918,2004,9,fully furnished,2 years,no
123,124,2021-01-20,PUNGGOL,670A,EDGEFIELD PLAINS,3-ROOM,1900,821670,1.405383,103.912961,WATERWAY RIDGES,2,62.794991,30.25719,1975,13,not furnished,1 year,yes
124,125,2022-09-28,PUNGGOL,670A,EDGEFIELD PLAINS,3-ROOM,3300,821670,1.405383,103.912961,WATERWAY RIDGES,2,64.281165,51.336966,1975,3,partially furnished,3 years,no
125,126,2022-11-05,PUNGGOL,670A,EDGEFIELD PLAINS,3-ROOM,3000,821670,1.405383,103.912961,WATERWAY RIDGES,2,62.234965,48.204414,1975,14,fully furnished,1 year,no
126,127,2023-01-24,PUNGGOL,670A,EDGEFIELD PLAINS,3-ROOM,2500,821670,1.405383,103.912961,WATERWAY RIDGES,2,62.533184,39.978773,1975,8,partially furnished,short term,no
127,128,2023-02-04,PUNGGOL,670A,EDGEFIELD PLAINS,3-ROOM,1300,821670,1.405383,103.912961,WATERWAY RIDGES,2,62.877445,20.67514,1975,8,not furnished,1 year,yes
128,129,2023-04-02,PUNGGOL,670A,EDGEFIELD PLAINS,4-ROOM,2500,821670,1.405383,103.912961,WATERWAY RIDGES,3,98.304404,25.43121,1975,8,fully furnished,flexible,no
129,130,2021-01-23,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1400,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,62.557643,22.37936,2012,4,fully furnished,short term,yes
130,131,2021-01-28,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,2000,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,61.663815,32.433933,2012,15,partially furnished,3 years,yes
131,132,2021-06-17,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1600,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,63.188957,25.32088,2012,14,fully furnished,1 year,yes
132,133,2021-08-01,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1300,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,63.893593,20.346328,2012,9,fully furnished,3 years,no
133,134,2021-08-05,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1900,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,63.785571,29.787301,2012,4,fully furnished,3 years,no
134,135,2021-09-23,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1600,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,64.782354,24.698084,2012,10,fully furnished,1 year,no
135,136,2021-11-02,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1400,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,62.87204,22.26745,2012,6,partially furnished,2 years,no
136,137,2022-04-11,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1500,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,62.432072,24.026113,2012,14,not furnished,3 years,yes
137,138,2022-06-08,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,2000,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,61.763106,32.381791,2012,7,partially furnished,1 year,no
138,139,2022-08-19,CHOA CHU KANG,26,TECK WHYE LANE,3-ROOM,1350,680026,1.377621,103.75574,TECK WHYE HEIGHTS II,2,63.922748,21.119242,2012,15,partially furnished,1 year,no
