property_id,user_id,listing_date,block,street_name,building,postal,town,flat_type,monthly_rent,latitude,longtitude,num_bedrooms,floor_size,ppsm,year_built,floor_level,furnish_status,lease_term,negotiable,is_visible,is_approved
47,1,2021-03-07,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,62.26078674,32.12294776,1983,9,not furnished,short term,no,1,1
48,1,2021-06-12,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,63.12960076,31.68085931,1983,6,fully furnished,flexible,yes,1,1
49,1,2021-06-20,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,62.24964159,30.52226409,1983,3,not furnished,flexible,yes,1,1
50,1,2021-10-22,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,62.59871263,31.94953883,1983,5,not furnished,short term,yes,1,1
51,1,2021-11-14,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2000,1.270379512,103.823236,2,63.19133518,31.64990887,1983,4,not furnished,flexible,no,1,1
52,1,2021-12-28,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2500,1.270379512,103.823236,2,63.59996427,39.30819818,1983,14,partially furnished,short term,no,1,1
53,1,2021-12-07,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1700,1.270379512,103.823236,2,62.15728755,27.34997081,1983,5,partially furnished,1 year,no,1,1
54,1,2022-01-26,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2700,1.270379512,103.823236,2,63.26777987,42.67575068,1983,4,not furnished,flexible,yes,1,1
55,1,2022-02-27,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1600,1.270379512,103.823236,2,62.30263039,25.68109869,1983,8,not furnished,1 year,yes,1,1
56,1,2022-08-15,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2300,1.270379512,103.823236,2,63.18630271,36.40029407,1983,13,fully furnished,flexible,no,1,1
57,1,2022-09-03,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2100,1.270379512,103.823236,2,63.16030312,33.24873214,1983,12,fully furnished,flexible,yes,1,1
58,1,2022-10-23,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2400,1.270379512,103.823236,2,61.22784065,39.19785468,1983,6,partially furnished,3 years,yes,1,1
59,1,2022-12-14,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2200,1.270379512,103.823236,2,63.14560764,34.84011133,1983,9,not furnished,1 year,no,1,1
60,1,2023-01-02,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2800,1.270379512,103.823236,2,62.08980508,45.09597021,1983,7,fully furnished,3 years,no,1,1
61,1,2023-03-14,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,3300,1.270379512,103.823236,2,63.31584603,52.11965419,1983,2,not furnished,1 year,no,1,1
62,1,2023-03-13,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2850,1.270379512,103.823236,2,63.21573455,45.08371247,1983,6,fully furnished,flexible,no,1,1
63,1,2023-03-24,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2300,1.270379512,103.823236,2,62.45930378,36.82397755,1983,2,partially furnished,flexible,no,1,1
64,1,2023-06-07,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,3550,1.270379512,103.823236,2,62.32951415,56.95536133,1983,12,fully furnished,3 years,yes,1,1
65,1,2021-01-09,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,1900,1.392590704,103.889372,3,122.8762959,15.4627057,2001,15,not furnished,1 year,yes,1,1
66,1,2021-01-01,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2100,1.392590704,103.889372,3,125.323585,16.75662247,2001,15,fully furnished,2 years,no,1,1
67,1,2021-01-02,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2000,1.392590704,103.889372,3,118.8020728,16.8347231,2001,12,not furnished,short term,yes,1,1
68,1,2021-01-18,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2100,1.392590704,103.889372,3,121.4107178,17.29666078,2001,5,partially furnished,2 years,yes,1,1
69,1,2021-01-10,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,148.5301723,14.13854147,2001,13,fully furnished,short term,yes,1,1
70,1,2021-05-02,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,147.3204492,14.25464022,2001,13,fully furnished,1 year,no,1,1
71,1,2021-06-13,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2100,1.392590704,103.889372,3,147.4923469,14.23802688,2001,15,not furnished,flexible,no,1,1
72,1,2021-08-14,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2500,1.392590704,103.889372,3,151.3745466,16.5153261,2001,12,partially furnished,flexible,no,1,1
73,1,2021-10-23,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2150,1.392590704,103.889372,3,119.424628,18.00298678,2001,11,partially furnished,3 years,yes,1,1
74,1,2021-10-07,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2400,1.392590704,103.889372,3,147.0862365,16.31695838,2001,13,fully furnished,1 year,no,1,1
75,1,2022-01-26,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2050,1.392590704,103.889372,3,123.027008,16.66300784,2001,11,partially furnished,3 years,yes,1,1
76,1,2022-01-05,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2200,1.392590704,103.889372,3,120.9326071,18.19195048,2001,9,fully furnished,2 years,yes,1,1
77,1,2022-01-08,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,2200,1.392590704,103.889372,3,154.9655568,14.19670309,2001,12,fully furnished,2 years,no,1,1
78,1,2022-03-26,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2200,1.392590704,103.889372,3,125.7730675,17.49182113,2001,3,partially furnished,1 year,no,1,1
79,1,2022-04-02,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,3200,1.392590704,103.889372,3,119.7311688,26.72654107,2001,9,partially furnished,2 years,no,1,1
80,1,2022-04-24,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2400,1.392590704,103.889372,3,115.6873573,20.74556854,2001,8,partially furnished,1 year,no,1,1
81,1,2022-05-01,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2500,1.392590704,103.889372,3,117.5516228,21.26725213,2001,2,fully furnished,3 years,yes,1,1
82,1,2022-06-05,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,3800,1.392590704,103.889372,3,150.0601143,25.32318477,2001,15,partially furnished,1 year,no,1,1
83,1,2022-08-23,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2500,1.392590704,103.889372,3,120.7039449,20.71183343,2001,9,fully furnished,2 years,no,1,1
84,1,2023-01-17,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,3000,1.392590704,103.889372,3,117.1814155,25.60132924,2001,3,fully furnished,short term,no,1,1
85,1,2023-01-03,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,3500,1.392590704,103.889372,3,121.637212,28.7740893,2001,15,fully furnished,3 years,no,1,1
86,1,2023-06-06,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,5-ROOM,2050,1.392590704,103.889372,3,122.9959209,16.66721941,2001,2,fully furnished,1 year,no,1,1
87,1,2023-06-15,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,3000,1.392590704,103.889372,3,149.2608782,20.09903758,2001,14,fully furnished,2 years,yes,1,1
88,1,2023-08-23,316A,ANCHORVALE LINK,HDB-SENGKANG,541316,SENGKANG,EXECUTIVE,3900,1.392590704,103.889372,3,144.4306057,27.00258702,2001,14,not furnished,3 years,yes,1,1
89,1,2021-01-07,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1350,1.45136997,103.8283246,1,36.96448656,36.52154069,1974,5,fully furnished,1 year,yes,1,1
90,1,2021-02-07,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1380,1.45136997,103.8283246,1,46.19980693,29.8702547,1974,9,not furnished,short term,no,1,1
91,1,2021-07-18,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1200,1.45136997,103.8283246,1,36.88964141,32.5294569,1974,12,partially furnished,short term,yes,1,1
92,1,2021-11-11,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1800,1.45136997,103.8283246,1,36.18805928,49.74016391,1974,13,fully furnished,short term,no,1,1
93,1,2021-11-19,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,3-ROOM,2000,1.45136997,103.8283246,2,61.62235768,32.45575267,1974,2,partially furnished,3 years,yes,1,1
94,1,2022-01-15,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1700,1.45136997,103.8283246,1,37.05589775,45.87663782,1974,2,not furnished,2 years,no,1,1
95,1,2022-10-16,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,3-ROOM,3400,1.45136997,103.8283246,2,62.20103657,54.66146848,1974,15,partially furnished,short term,yes,1,1
96,1,2022-11-04,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,3-ROOM,3100,1.45136997,103.8283246,2,63.60517629,48.73817166,1974,3,partially furnished,3 years,no,1,1
97,1,2023-02-19,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,2100,1.45136997,103.8283246,1,45.52372996,46.12978774,1974,2,fully furnished,2 years,yes,1,1
98,1,2023-06-22,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,2200,1.45136997,103.8283246,1,36.50952168,60.25825316,1974,4,fully furnished,short term,yes,1,1
99,1,2023-08-18,593B,MONTREAL LINK,MONTREAL VILLE,752593,SEMBAWANG,2-ROOM,1550,1.45136997,103.8283246,1,45.92919331,33.74759904,1974,3,fully furnished,1 year,yes,1,1
100,1,2021-01-20,209C,COMPASSVALE LANE,COMPASSVALE VIEW,543209,SENGKANG,4-ROOM,2000,1.383993735,103.8991735,3,100.5532895,19.889951,2004,5,fully furnished,3 years,no,1,1
101,1,2022-05-20,209C,COMPASSVALE LANE,COMPASSVALE VIEW,543209,SENGKANG,3-ROOM,2800,1.383993735,103.8991735,2,61.76325397,45.33439901,2004,14,fully furnished,1 year,no,1,1
102,1,2022-09-16,209C,COMPASSVALE LANE,COMPASSVALE VIEW,543209,SENGKANG,3-ROOM,2000,1.383993735,103.8991735,2,63.12492199,31.68320747,2004,2,partially furnished,short term,no,1,1
103,1,2022-11-02,209C,COMPASSVALE LANE,COMPASSVALE VIEW,543209,SENGKANG,4-ROOM,2200,1.383993735,103.8991735,3,99.0348406,22.21440441,2004,14,partially furnished,flexible,no,1,1
104,1,2023-03-27,209C,COMPASSVALE LANE,COMPASSVALE VIEW,543209,SENGKANG,4-ROOM,3200,1.383993735,103.8991735,3,103.2490464,30.99302233,2004,14,partially furnished,flexible,yes,1,1
105,1,2021-01-14,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,2300,1.336181973,103.9340432,3,125.0272396,18.39599121,2004,13,fully furnished,short term,no,1,1
106,1,2021-02-25,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,2650,1.336181973,103.9340432,3,119.6023398,22.15675718,2004,2,partially furnished,2 years,yes,1,1
107,1,2021-02-02,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2200,1.336181973,103.9340432,3,102.3015312,21.50505447,2004,5,not furnished,1 year,yes,1,1
108,1,2021-03-21,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,2800,1.336181973,103.9340432,3,121.0161033,23.13741662,2004,11,partially furnished,1 year,yes,1,1
109,1,2021-05-15,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2225,1.336181973,103.9340432,3,100.9150061,22.04825711,2004,2,partially furnished,2 years,no,1,1
110,1,2021-08-28,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2100,1.336181973,103.9340432,3,92.7216157,22.64844054,2004,15,not furnished,3 years,yes,1,1
111,1,2021-08-28,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2000,1.336181973,103.9340432,3,101.9122878,19.62471889,2004,4,fully furnished,short term,no,1,1
112,1,2022-02-01,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,2650,1.336181973,103.9340432,3,118.523688,22.35839978,2004,13,partially furnished,3 years,no,1,1
113,1,2022-03-05,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2200,1.336181973,103.9340432,3,100.3994316,21.91247466,2004,6,not furnished,3 years,yes,1,1
114,1,2022-04-11,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,3200,1.336181973,103.9340432,3,117.1456069,27.31643196,2004,6,not furnished,flexible,no,1,1
115,1,2022-08-18,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2800,1.336181973,103.9340432,3,103.1892156,27.13461852,2004,6,fully furnished,2 years,no,1,1
116,1,2022-08-08,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,3200,1.336181973,103.9340432,3,114.7253263,27.89270776,2004,6,fully furnished,flexible,yes,1,1
117,1,2022-10-09,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,3800,1.336181973,103.9340432,3,119.9578831,31.67778475,2004,15,fully furnished,short term,no,1,1
118,1,2023-02-03,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,3900,1.336181973,103.9340432,3,98.73751832,39.49866339,2004,12,partially furnished,2 years,yes,1,1
119,1,2023-02-16,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,5-ROOM,2650,1.336181973,103.9340432,3,118.8767347,22.29199857,2004,14,not furnished,2 years,no,1,1
120,1,2023-03-03,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,2600,1.336181973,103.9340432,3,96.59834617,26.91557468,2004,10,not furnished,2 years,yes,1,1
121,1,2023-04-13,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,3800,1.336181973,103.9340432,3,96.26479132,39.4744532,2004,6,fully furnished,3 years,yes,1,1
122,1,2023-05-12,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,3900,1.336181973,103.9340432,3,95.69817192,40.75312957,2004,3,partially furnished,3 years,no,1,1
123,1,2023-08-10,761,BEDOK RESERVOIR VIEW,LONGVALE,470761,BEDOK,4-ROOM,3600,1.336181973,103.9340432,3,102.1880157,35.22918002,2004,9,fully furnished,2 years,no,1,1
124,1,2021-01-20,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,3-ROOM,1900,1.405383412,103.9129608,2,62.79499124,30.2571903,1975,13,not furnished,1 year,yes,1,1
125,1,2022-09-28,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,3-ROOM,3300,1.405383412,103.9129608,2,64.28116548,51.33696589,1975,3,partially furnished,3 years,no,1,1
126,1,2022-11-05,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,3-ROOM,3000,1.405383412,103.9129608,2,62.23496491,48.20441378,1975,14,fully furnished,1 year,no,1,1
127,1,2023-01-24,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,3-ROOM,2500,1.405383412,103.9129608,2,62.53318428,39.97877333,1975,8,partially furnished,short term,no,1,1
128,1,2023-02-04,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,3-ROOM,1300,1.405383412,103.9129608,2,62.87744465,20.67514046,1975,8,not furnished,1 year,yes,1,1
129,1,2023-04-02,670A,EDGEFIELD PLAINS,WATERWAY RIDGES,821670,PUNGGOL,4-ROOM,2500,1.405383412,103.9129608,3,98.3044044,25.43121049,1975,8,fully furnished,flexible,no,1,1
